BULTEN_TARIHI,MAL_TIPI,S_NO,MAL_ADI,BIRIM,ASGARI_FIYAT,AZAMI_UCRET,ORTALAMA_UCRET
01/01/2025,SEBZE,63.0,Y.REYHAN,ADET,8,18.0,13.0
01/01/2025,SEBZE,65.0,Y.TERE,BAĞ,3,7.0,5.0
01/01/2025,SEBZE,1.0,ARMUT  DEVECI,KG,20,50.0,35.0
01/01/2025,SEBZE,3.0,ARMUT  S.MARIA,KG,25,50.0,37.5
01/01/2025,SEBZE,5.0,AYVA,KG,20,50.0,35.0
01/01/2025,SEBZE,7.0,CILEK,KG,190,300.0,245.0
01/01/2025,SEBZE,9.0,ELMA  ARJANTİN,KG,20,45.0,32.5
01/01/2025,SEBZE,11.0,ELMA  GOLDEN,KG,15,35.0,25.0
01/01/2025,SEBZE,13.0,ELMA GSMİT,KG,15,45.0,30.0
01/01/2025,SEBZE,15.0,KESTANE,KG,100,200.0,150.0
01/01/2025,SEBZE,17.0,LİMON  YENİ (MAYER),KG,10,20.0,15.0
01/01/2025,SEBZE,19.0,LİMON LAMAS,KG,15,30.0,22.5
01/01/2025,SEBZE,21.0,MANDALİNA DİĞER,KG,10,30.0,20.0
01/01/2025,SEBZE,23.0,MUŞMULA,KG,20,50.0,35.0
01/01/2025,SEBZE,25.0,NAR,KG,20,40.0,30.0
01/01/2025,SEBZE,27.0,PORTAKAL   FINIKE,KG,20,45.0,32.5
01/01/2025,SEBZE,29.0,PORTAKAL WASHINGTON,KG,20,45.0,32.5
01/01/2025,SEBZE,1.0,ANANAS,ADET,40,90.0,65.0
01/01/2025,SEBZE,3.0,BİBER KALİFORNİYA,KG,80,140.0,110.0
01/01/2025,SEBZE,5.0,MANGO,ADET,35,70.0,52.5
01/01/2025,SEBZE,7.0,PİTAHAYA,ADET,50,100.0,75.0
01/01/2025,SEBZE,4.0,BİBER  SİVRİ,KG,40,100.0,70.0
01/01/2025,SEBZE,6.0,BİBER KIRMIZI,KG,35,90.0,62.5
01/01/2025,SEBZE,8.0,BİBER SİVRİ (DİĞER),KG,25,75.0,50.0
01/01/2025,SEBZE,10.0,DENIZ BÖRÜLCESİ,ADET,10,20.0,15.0
01/01/2025,SEBZE,12.0,DOMATES  SALKIM,KG,35,65.0,50.0
01/01/2025,SEBZE,14.0,DOMATES (DİĞER),KG,40,70.0,55.0
01/01/2025,SEBZE,16.0,DOMATES PEMBE,KG,35,70.0,52.5
01/01/2025,SEBZE,18.0,FASULYE   AYSE,KG,40,100.0,70.0
01/01/2025,SEBZE,20.0,HAVUÇ,KG,15,30.0,22.5
01/01/2025,SEBZE,22.0,ISPANAK,KG,15,30.0,22.5
01/01/2025,SEBZE,24.0,KABAK TAZE,KG,25,45.0,35.0
01/01/2025,SEBZE,26.0,KARPUZ,KG,20,35.0,27.5
01/01/2025,SEBZE,28.0,KAVUN DİĞER,KG,15,40.0,27.5
01/01/2025,SEBZE,30.0,KEREVIZ,KG,20,35.0,27.5
01/01/2025,SEBZE,32.0,LAHANA  BURUKSEL,KG,30,65.0,47.5
01/01/2025,SEBZE,34.0,MANTAR,KG,60,140.0,100.0
01/01/2025,SEBZE,36.0,MARUL,ADET,10,35.0,22.5
01/01/2025,SEBZE,38.0,MARUL KIVIRCIK,ADET,20,40.0,30.0
01/01/2025,SEBZE,40.0,PANCAR,KG,10,30.0,20.0
01/01/2025,SEBZE,42.0,PATATES DİĞER,KG,8,25.0,16.5
01/01/2025,SEBZE,44.0,PATLICAN  UZUN,KG,35,80.0,57.5
01/01/2025,SEBZE,46.0,PAZI,ADET,10,25.0,17.5
01/01/2025,SEBZE,48.0,SALATALIK ,KG,30,55.0,42.5
01/01/2025,SEBZE,50.0,SALATALIK ÇENGELKÖY,KG,25,45.0,35.0
01/01/2025,SEBZE,52.0,SEMIZ OTU,ADET,10,25.0,17.5
01/01/2025,SEBZE,54.0,SOĞAN   KURU,KG,10,30.0,20.0
01/01/2025,SEBZE,56.0,SOĞAN MOR,KG,15,35.0,25.0
01/01/2025,SEBZE,58.0,TURP DİĞER,KG,10,20.0,15.0
01/01/2025,SEBZE,60.0,YERELMASI,KG,30,50.0,40.0
01/01/2025,SEBZE,62.0,Y.NANE,BAĞ,3,6.0,4.5
01/01/2025,SEBZE,64.0,Y.ROKA,BAĞ,3,6.0,4.5
01/01/2025,SEBZE,2.0,ARMUT  DİĞER,KG,20,55.0,37.5
01/01/2025,SEBZE,4.0,ARMUT AKÇA,KG,20,45.0,32.5
01/01/2025,SEBZE,6.0,CENNET ELMASI,KG,35,80.0,57.5
01/01/2025,SEBZE,8.0,ELMA  AMASYA,KG,30,55.0,42.5
01/01/2025,SEBZE,10.0,ELMA  DİĞER,KG,15,45.0,30.0
01/01/2025,SEBZE,12.0,ELMA  STARKING,KG,20,40.0,30.0
01/01/2025,SEBZE,14.0,GREYFURT,KG,15,30.0,22.5
01/01/2025,SEBZE,16.0,KIVI  ,KG,50,90.0,70.0
01/01/2025,SEBZE,18.0,LİMON DİĞER ,KG,15,35.0,25.0
01/01/2025,SEBZE,20.0,MANDALİNA,KG,15,40.0,27.5
01/01/2025,SEBZE,22.0,MANDALİNA SATSUMA,KG,20,45.0,32.5
01/01/2025,SEBZE,24.0,MUZ  YERLI,KG,35,55.0,45.0
01/01/2025,SEBZE,26.0,PORTAKAL  ,KG,20,45.0,32.5
01/01/2025,SEBZE,28.0,PORTAKAL DİĞER,KG,10,30.0,20.0
01/01/2025,SEBZE,2.0,AVAKADO,ADET,25,50.0,37.5
01/01/2025,SEBZE,4.0,HINDISTAN CEVIZI,ADET,40,65.0,52.5
01/01/2025,SEBZE,6.0,MUZ  ITHAL,KG,45,75.0,60.0
01/01/2025,SEBZE,8.0,ZENCEFİL,KG,80,200.0,140.0
01/02/2025,SEBZE,3.0,BİBER  KIL ACI,KG,40,105.0,72.5
01/02/2025,SEBZE,5.0,BİBER ÇARLİSTON,KG,30,80.0,55.0
01/02/2025,SEBZE,7.0,BİBER KÖY(MAZO),KG,25,90.0,57.5
01/02/2025,SEBZE,9.0,BROKOLI,KG,25,40.0,32.5
01/02/2025,SEBZE,11.0,DOMATES  BEEF,KG,15,45.0,30.0
01/02/2025,SEBZE,13.0,DOMATES CHERRY,KG,30,70.0,50.0
01/02/2025,SEBZE,15.0,DOMATES (KOKTEYL),KG,35,75.0,55.0
01/02/2025,SEBZE,17.0,DOMATES SALKIM  (İYİ TARIM),KG,30,85.0,57.5
01/02/2025,SEBZE,19.0,FASULYE   CALI,KG,45,90.0,67.5
01/02/2025,SEBZE,21.0,HAVUÇ BEYPAZARI,KG,8,25.0,16.5
01/02/2025,SEBZE,23.0,KABAK  BAL,KG,15,30.0,22.5
01/02/2025,SEBZE,25.0,KARNABAHAR,KG,25,55.0,40.0
01/02/2025,SEBZE,27.0,KAVUN  SERA,KG,20,35.0,27.5
01/02/2025,SEBZE,29.0,KAVUN KIRKAĞAÇ,KG,15,30.0,22.5
01/02/2025,SEBZE,31.0,LAHANA  BEYAZ,KG,10,30.0,20.0
01/02/2025,SEBZE,33.0,LAHANA  KIRMIZI,KG,25,60.0,42.5
01/02/2025,SEBZE,35.0,MANTAR (İSTİRİDYE),KG,65,170.0,117.5
01/02/2025,SEBZE,37.0,MARUL AYSBERG,ADET,12,45.0,28.5
01/02/2025,SEBZE,39.0,MARUL LOLOROSSO,ADET,10,40.0,25.0
01/02/2025,SEBZE,41.0,PATATES  CALMA,KG,10,25.0,17.5
01/02/2025,SEBZE,43.0,PATATES TAZE,KG,10,35.0,22.5
01/02/2025,SEBZE,45.0,PATLICAN TOPAN,KG,35,80.0,57.5
01/02/2025,SEBZE,47.0,PIRASA,KG,10,35.0,22.5
01/02/2025,SEBZE,49.0,SALATALIK  SİLOR,KG,25,55.0,40.0
01/02/2025,SEBZE,51.0,SARIMSAK  KURU,KG,60,200.0,130.0
01/02/2025,SEBZE,53.0,SOĞAN   KIRMIZI,KG,17,50.0,33.5
01/02/2025,SEBZE,55.0,SOĞAN   TAZE,KG,35,80.0,57.5
01/02/2025,SEBZE,57.0,TURP  KIRMIZI,KG,15,25.0,20.0
01/02/2025,SEBZE,59.0,Y.DEREOTU,BAĞ,3,8.0,5.5
01/02/2025,SEBZE,61.0,Y.MAYDONOZ,BAĞ,3,6.0,4.5
01/02/2025,SEBZE,63.0,Y.REYHAN,ADET,8,18.0,13.0
01/02/2025,SEBZE,65.0,Y.TERE,BAĞ,3,7.0,5.0
01/02/2025,SEBZE,1.0,ARMUT  DEVECI,KG,20,50.0,35.0
01/02/2025,SEBZE,3.0,ARMUT  S.MARIA,KG,25,50.0,37.5
01/02/2025,SEBZE,5.0,AYVA,KG,20,50.0,35.0
01/02/2025,SEBZE,7.0,CILEK,KG,190,300.0,245.0
01/02/2025,SEBZE,9.0,ELMA  ARJANTİN,KG,20,45.0,32.5
01/02/2025,SEBZE,11.0,ELMA  GOLDEN,KG,15,35.0,25.0
01/02/2025,SEBZE,13.0,ELMA GSMİT,KG,15,45.0,30.0
01/02/2025,SEBZE,15.0,KESTANE,KG,100,200.0,150.0
01/02/2025,SEBZE,17.0,LİMON  YENİ (MAYER),KG,10,20.0,15.0
01/02/2025,SEBZE,19.0,LİMON LAMAS,KG,15,30.0,22.5
01/02/2025,SEBZE,21.0,MANDALİNA DİĞER,KG,10,30.0,20.0
01/02/2025,SEBZE,23.0,MUŞMULA,KG,20,50.0,35.0
01/02/2025,SEBZE,25.0,NAR,KG,20,40.0,30.0
01/02/2025,SEBZE,27.0,PORTAKAL   FINIKE,KG,20,45.0,32.5
01/02/2025,SEBZE,29.0,PORTAKAL WASHINGTON,KG,20,45.0,32.5
01/02/2025,SEBZE,1.0,ANANAS,ADET,40,90.0,65.0
01/02/2025,SEBZE,3.0,BİBER KALİFORNİYA,KG,80,140.0,110.0
01/02/2025,SEBZE,5.0,MANGO,ADET,35,70.0,52.5
01/02/2025,SEBZE,7.0,PİTAHAYA,ADET,50,100.0,75.0
01/02/2025,SEBZE,4.0,BİBER  SİVRİ,KG,40,100.0,70.0
01/02/2025,SEBZE,6.0,BİBER KIRMIZI,KG,35,90.0,62.5
01/02/2025,SEBZE,8.0,BİBER SİVRİ (DİĞER),KG,25,75.0,50.0
01/02/2025,SEBZE,10.0,DENIZ BÖRÜLCESİ,ADET,10,20.0,15.0
01/02/2025,SEBZE,12.0,DOMATES  SALKIM,KG,35,65.0,50.0
01/02/2025,SEBZE,14.0,DOMATES (DİĞER),KG,40,70.0,55.0
01/02/2025,SEBZE,16.0,DOMATES PEMBE,KG,35,70.0,52.5
01/02/2025,SEBZE,18.0,FASULYE   AYSE,KG,40,100.0,70.0
01/02/2025,SEBZE,20.0,HAVUÇ,KG,15,30.0,22.5
01/02/2025,SEBZE,22.0,ISPANAK,KG,15,30.0,22.5
01/02/2025,SEBZE,24.0,KABAK TAZE,KG,25,45.0,35.0
01/02/2025,SEBZE,26.0,KARPUZ,KG,20,35.0,27.5
01/02/2025,SEBZE,28.0,KAVUN DİĞER,KG,15,40.0,27.5
01/02/2025,SEBZE,30.0,KEREVIZ,KG,20,35.0,27.5
01/02/2025,SEBZE,32.0,LAHANA  BURUKSEL,KG,30,65.0,47.5
01/02/2025,SEBZE,34.0,MANTAR,KG,60,140.0,100.0
01/02/2025,SEBZE,36.0,MARUL,ADET,10,35.0,22.5
01/02/2025,SEBZE,38.0,MARUL KIVIRCIK,ADET,20,40.0,30.0
01/02/2025,SEBZE,40.0,PANCAR,KG,10,30.0,20.0
01/02/2025,SEBZE,42.0,PATATES DİĞER,KG,8,25.0,16.5
01/02/2025,SEBZE,44.0,PATLICAN  UZUN,KG,35,80.0,57.5
01/02/2025,SEBZE,46.0,PAZI,ADET,10,25.0,17.5
01/02/2025,SEBZE,48.0,SALATALIK ,KG,30,55.0,42.5
01/02/2025,SEBZE,50.0,SALATALIK ÇENGELKÖY,KG,25,45.0,35.0
01/02/2025,SEBZE,52.0,SEMIZ OTU,ADET,10,25.0,17.5
01/02/2025,SEBZE,54.0,SOĞAN   KURU,KG,10,30.0,20.0
01/02/2025,SEBZE,56.0,SOĞAN MOR,KG,15,35.0,25.0
01/02/2025,SEBZE,58.0,TURP DİĞER,KG,10,20.0,15.0
01/02/2025,SEBZE,60.0,YERELMASI,KG,30,50.0,40.0
01/02/2025,SEBZE,62.0,Y.NANE,BAĞ,3,6.0,4.5
01/02/2025,SEBZE,64.0,Y.ROKA,BAĞ,3,6.0,4.5
01/02/2025,SEBZE,2.0,ARMUT  DİĞER,KG,20,55.0,37.5
01/02/2025,SEBZE,4.0,ARMUT AKÇA,KG,20,45.0,32.5
01/02/2025,SEBZE,6.0,CENNET ELMASI,KG,35,80.0,57.5
01/02/2025,SEBZE,8.0,ELMA  AMASYA,KG,30,55.0,42.5
01/02/2025,SEBZE,10.0,ELMA  DİĞER,KG,15,45.0,30.0
01/02/2025,SEBZE,12.0,ELMA  STARKING,KG,20,40.0,30.0
01/02/2025,SEBZE,14.0,GREYFURT,KG,15,30.0,22.5
01/02/2025,SEBZE,16.0,KIVI  ,KG,50,90.0,70.0
01/02/2025,SEBZE,18.0,LİMON DİĞER ,KG,15,35.0,25.0
01/02/2025,SEBZE,20.0,MANDALİNA,KG,15,40.0,27.5
01/02/2025,SEBZE,22.0,MANDALİNA SATSUMA,KG,20,45.0,32.5
01/02/2025,SEBZE,24.0,MUZ  YERLI,KG,35,55.0,45.0
01/02/2025,SEBZE,26.0,PORTAKAL  ,KG,20,45.0,32.5
01/02/2025,SEBZE,28.0,PORTAKAL DİĞER,KG,10,30.0,20.0
01/02/2025,SEBZE,2.0,AVAKADO,ADET,25,50.0,37.5
01/02/2025,SEBZE,4.0,HINDISTAN CEVIZI,ADET,40,65.0,52.5
01/02/2025,SEBZE,6.0,MUZ  ITHAL,KG,45,75.0,60.0
01/02/2025,SEBZE,8.0,ZENCEFİL,KG,80,200.0,140.0
01/03/2025,SEBZE,3.0,BİBER  KIL ACI,KG,40,105.0,72.5
01/03/2025,SEBZE,5.0,BİBER ÇARLİSTON,KG,30,80.0,55.0
01/03/2025,SEBZE,7.0,BİBER KÖY(MAZO),KG,25,90.0,57.5
01/03/2025,SEBZE,9.0,BROKOLI,KG,25,40.0,32.5
01/03/2025,SEBZE,11.0,DOMATES  BEEF,KG,15,50.0,32.5
01/03/2025,SEBZE,13.0,DOMATES CHERRY,KG,30,70.0,50.0
01/03/2025,SEBZE,15.0,DOMATES (KOKTEYL),KG,35,75.0,55.0
01/03/2025,SEBZE,17.0,DOMATES SALKIM  (İYİ TARIM),KG,30,85.0,57.5
01/03/2025,SEBZE,19.0,FASULYE   CALI,KG,45,90.0,67.5
01/03/2025,SEBZE,21.0,HAVUÇ BEYPAZARI,KG,8,25.0,16.5
01/03/2025,SEBZE,23.0,KABAK  BAL,KG,15,25.0,20.0
01/03/2025,SEBZE,25.0,KARNABAHAR,KG,25,55.0,40.0
01/03/2025,SEBZE,27.0,KAVUN  SERA,KG,20,35.0,27.5
01/03/2025,SEBZE,29.0,KAVUN KIRKAĞAÇ,KG,15,30.0,22.5
01/03/2025,SEBZE,31.0,LAHANA  BEYAZ,KG,10,30.0,20.0
01/03/2025,SEBZE,33.0,LAHANA  KIRMIZI,KG,25,60.0,42.5
01/03/2025,SEBZE,35.0,MANTAR (İSTİRİDYE),KG,65,170.0,117.5
01/03/2025,SEBZE,37.0,MARUL AYSBERG,ADET,12,45.0,28.5
01/03/2025,SEBZE,39.0,MARUL LOLOROSSO,ADET,10,40.0,25.0
01/03/2025,SEBZE,41.0,PATATES  CALMA,KG,10,25.0,17.5
01/03/2025,SEBZE,43.0,PATATES TAZE,KG,10,35.0,22.5
01/03/2025,SEBZE,45.0,PATLICAN TOPAN,KG,35,80.0,57.5
01/03/2025,SEBZE,47.0,PIRASA,KG,10,35.0,22.5
01/03/2025,SEBZE,49.0,SALATALIK  SİLOR,KG,25,55.0,40.0
01/03/2025,SEBZE,51.0,SARIMSAK  KURU,KG,60,200.0,130.0
01/03/2025,SEBZE,53.0,SOĞAN   KIRMIZI,KG,17,50.0,33.5
01/03/2025,SEBZE,55.0,SOĞAN   TAZE,KG,35,80.0,57.5
01/03/2025,SEBZE,57.0,TURP  KIRMIZI,KG,15,25.0,20.0
01/03/2025,SEBZE,59.0,Y.DEREOTU,BAĞ,3,8.0,5.5
01/03/2025,SEBZE,61.0,Y.MAYDONOZ,BAĞ,3,6.0,4.5
01/03/2025,SEBZE,63.0,Y.REYHAN,ADET,8,18.0,13.0
01/03/2025,SEBZE,65.0,Y.TERE,BAĞ,3,7.0,5.0
01/03/2025,SEBZE,1.0,ARMUT  DEVECI,KG,20,50.0,35.0
01/03/2025,SEBZE,3.0,ARMUT  S.MARIA,KG,25,50.0,37.5
01/03/2025,SEBZE,5.0,AYVA,KG,20,40.0,30.0
01/03/2025,SEBZE,7.0,CILEK,KG,190,280.0,235.0
01/03/2025,SEBZE,9.0,ELMA  ARJANTİN,KG,20,45.0,32.5
01/03/2025,SEBZE,11.0,ELMA  GOLDEN,KG,15,35.0,25.0
01/03/2025,SEBZE,13.0,ELMA GSMİT,KG,15,45.0,30.0
01/03/2025,SEBZE,15.0,KESTANE,KG,100,200.0,150.0
01/03/2025,SEBZE,17.0,LİMON  YENİ (MAYER),KG,10,20.0,15.0
01/03/2025,SEBZE,19.0,LİMON LAMAS,KG,15,30.0,22.5
01/03/2025,SEBZE,21.0,MANDALİNA DİĞER,KG,10,30.0,20.0
01/03/2025,SEBZE,23.0,MUŞMULA,KG,20,50.0,35.0
01/03/2025,SEBZE,25.0,NAR,KG,20,40.0,30.0
01/03/2025,SEBZE,27.0,PORTAKAL   FINIKE,KG,20,45.0,32.5
01/03/2025,SEBZE,29.0,PORTAKAL WASHINGTON,KG,20,45.0,32.5
01/03/2025,SEBZE,1.0,ANANAS,ADET,40,90.0,65.0
01/03/2025,SEBZE,3.0,BİBER KALİFORNİYA,KG,80,140.0,110.0
01/03/2025,SEBZE,5.0,MANGO,ADET,35,70.0,52.5
01/03/2025,SEBZE,7.0,PİTAHAYA,ADET,50,100.0,75.0
01/03/2025,SEBZE,4.0,BİBER  SİVRİ,KG,40,100.0,70.0
01/03/2025,SEBZE,6.0,BİBER KIRMIZI,KG,35,90.0,62.5
01/03/2025,SEBZE,8.0,BİBER SİVRİ (DİĞER),KG,25,75.0,50.0
01/03/2025,SEBZE,10.0,DENIZ BÖRÜLCESİ,ADET,10,20.0,15.0
01/03/2025,SEBZE,12.0,DOMATES  SALKIM,KG,35,65.0,50.0
01/03/2025,SEBZE,14.0,DOMATES (DİĞER),KG,40,70.0,55.0
01/03/2025,SEBZE,16.0,DOMATES PEMBE,KG,35,70.0,52.5
01/03/2025,SEBZE,18.0,FASULYE   AYSE,KG,40,100.0,70.0
01/03/2025,SEBZE,20.0,HAVUÇ,KG,15,30.0,22.5
01/03/2025,SEBZE,22.0,ISPANAK,KG,15,30.0,22.5
01/03/2025,SEBZE,24.0,KABAK TAZE,KG,25,45.0,35.0
01/03/2025,SEBZE,26.0,KARPUZ,KG,20,35.0,27.5
01/03/2025,SEBZE,28.0,KAVUN DİĞER,KG,15,40.0,27.5
01/03/2025,SEBZE,30.0,KEREVIZ,KG,20,35.0,27.5
01/03/2025,SEBZE,32.0,LAHANA  BURUKSEL,KG,30,65.0,47.5
01/03/2025,SEBZE,34.0,MANTAR,KG,60,140.0,100.0
01/03/2025,SEBZE,36.0,MARUL,ADET,10,35.0,22.5
01/03/2025,SEBZE,38.0,MARUL KIVIRCIK,ADET,20,40.0,30.0
01/03/2025,SEBZE,40.0,PANCAR,KG,10,30.0,20.0
01/03/2025,SEBZE,42.0,PATATES DİĞER,KG,8,25.0,16.5
01/03/2025,SEBZE,44.0,PATLICAN  UZUN,KG,35,80.0,57.5
01/03/2025,SEBZE,46.0,PAZI,ADET,10,25.0,17.5
01/03/2025,SEBZE,48.0,SALATALIK ,KG,30,55.0,42.5
01/03/2025,SEBZE,50.0,SALATALIK ÇENGELKÖY,KG,25,45.0,35.0
01/03/2025,SEBZE,52.0,SEMIZ OTU,ADET,10,25.0,17.5
01/03/2025,SEBZE,54.0,SOĞAN   KURU,KG,10,30.0,20.0
01/03/2025,SEBZE,56.0,SOĞAN MOR,KG,15,35.0,25.0
01/03/2025,SEBZE,58.0,TURP DİĞER,KG,10,20.0,15.0
01/03/2025,SEBZE,60.0,YERELMASI,KG,30,50.0,40.0
01/03/2025,SEBZE,62.0,Y.NANE,BAĞ,3,6.0,4.5
01/03/2025,SEBZE,64.0,Y.ROKA,BAĞ,3,6.0,4.5
01/03/2025,SEBZE,2.0,ARMUT  DİĞER,KG,20,55.0,37.5
01/03/2025,SEBZE,4.0,ARMUT AKÇA,KG,20,45.0,32.5
01/03/2025,SEBZE,6.0,CENNET ELMASI,KG,35,80.0,57.5
01/03/2025,SEBZE,8.0,ELMA  AMASYA,KG,30,55.0,42.5
01/03/2025,SEBZE,10.0,ELMA  DİĞER,KG,15,45.0,30.0
01/03/2025,SEBZE,12.0,ELMA  STARKING,KG,20,40.0,30.0
01/03/2025,SEBZE,14.0,GREYFURT,KG,15,30.0,22.5
01/03/2025,SEBZE,16.0,KIVI  ,KG,50,90.0,70.0
01/03/2025,SEBZE,18.0,LİMON DİĞER ,KG,15,35.0,25.0
01/03/2025,SEBZE,20.0,MANDALİNA,KG,15,40.0,27.5
01/03/2025,SEBZE,22.0,MANDALİNA SATSUMA,KG,20,45.0,32.5
01/03/2025,SEBZE,24.0,MUZ  YERLI,KG,35,55.0,45.0
01/03/2025,SEBZE,26.0,PORTAKAL  ,KG,20,45.0,32.5
01/03/2025,SEBZE,28.0,PORTAKAL DİĞER,KG,10,30.0,20.0
01/03/2025,SEBZE,2.0,AVAKADO,ADET,25,50.0,37.5
01/03/2025,SEBZE,4.0,HINDISTAN CEVIZI,ADET,40,65.0,52.5
01/03/2025,SEBZE,6.0,MUZ  ITHAL,KG,45,75.0,60.0
01/03/2025,SEBZE,8.0,ZENCEFİL,KG,80,200.0,140.0
01/04/2025,SEBZE,3.0,BİBER  KIL ACI,KG,40,100.0,70.0
01/04/2025,SEBZE,5.0,BİBER ÇARLİSTON,KG,30,75.0,52.5
01/04/2025,SEBZE,7.0,BİBER KÖY(MAZO),KG,25,90.0,57.5
01/04/2025,SEBZE,9.0,BROKOLI,KG,25,50.0,37.5
01/04/2025,SEBZE,11.0,DOMATES  BEEF,KG,15,45.0,30.0
01/04/2025,SEBZE,13.0,DOMATES CHERRY,KG,30,70.0,50.0
01/04/2025,SEBZE,15.0,DOMATES (KOKTEYL),KG,35,75.0,55.0
01/04/2025,SEBZE,17.0,DOMATES SALKIM  (İYİ TARIM),KG,30,85.0,57.5
01/04/2025,SEBZE,19.0,FASULYE   CALI,KG,45,90.0,67.5
01/04/2025,SEBZE,21.0,HAVUÇ BEYPAZARI,KG,8,25.0,16.5
01/04/2025,SEBZE,23.0,KABAK  BAL,KG,15,25.0,20.0
01/04/2025,SEBZE,25.0,KARNABAHAR,KG,25,55.0,40.0
01/04/2025,SEBZE,27.0,KAVUN  SERA,KG,20,35.0,27.5
01/04/2025,SEBZE,29.0,KAVUN KIRKAĞAÇ,KG,15,30.0,22.5
01/04/2025,SEBZE,31.0,LAHANA  BEYAZ,KG,10,30.0,20.0
01/04/2025,SEBZE,33.0,LAHANA  KIRMIZI,KG,25,60.0,42.5
01/04/2025,SEBZE,35.0,MANTAR (İSTİRİDYE),KG,65,170.0,117.5
01/04/2025,SEBZE,37.0,MARUL AYSBERG,ADET,12,45.0,28.5
01/04/2025,SEBZE,39.0,MARUL LOLOROSSO,ADET,10,40.0,25.0
01/04/2025,SEBZE,41.0,PATATES  CALMA,KG,10,25.0,17.5
01/04/2025,SEBZE,43.0,PATATES TAZE,KG,10,35.0,22.5
01/04/2025,SEBZE,45.0,PATLICAN TOPAN,KG,35,80.0,57.5
01/04/2025,SEBZE,47.0,PIRASA,KG,10,35.0,22.5
01/04/2025,SEBZE,49.0,SALATALIK  SİLOR,KG,25,55.0,40.0
01/04/2025,SEBZE,51.0,SARIMSAK  KURU,KG,60,200.0,130.0
01/04/2025,SEBZE,53.0,SOĞAN   KIRMIZI,KG,17,50.0,33.5
01/04/2025,SEBZE,55.0,SOĞAN   TAZE,KG,35,80.0,57.5
01/04/2025,SEBZE,57.0,TURP  KIRMIZI,KG,15,25.0,20.0
01/04/2025,SEBZE,59.0,Y.DEREOTU,BAĞ,3,8.0,5.5
01/04/2025,SEBZE,61.0,Y.MAYDONOZ,BAĞ,3,6.0,4.5
01/04/2025,SEBZE,63.0,Y.REYHAN,ADET,8,20.0,14.0
01/04/2025,SEBZE,65.0,Y.TERE,BAĞ,3,7.0,5.0
01/04/2025,SEBZE,1.0,ARMUT  DEVECI,KG,20,50.0,35.0
01/04/2025,SEBZE,3.0,ARMUT  S.MARIA,KG,25,50.0,37.5
01/04/2025,SEBZE,5.0,AYVA,KG,20,40.0,30.0
01/04/2025,SEBZE,7.0,CILEK,KG,190,280.0,235.0
01/04/2025,SEBZE,9.0,ELMA  ARJANTİN,KG,20,45.0,32.5
